user_id,own_bm25
269,"[480014, 1139782, 1069714, 938596, 1026984]"
271,"[480014, 1124729, 1085256, 7462562, 986912]"
273,"[480014, 6979579, 834103, 840601, 1053690]"
275,"[480014, 857554, 918638, 1068651, 1106523]"
276,"[480014, 1089766, 1058930, 1001148, 1101174]"
277,"[480014, 841266, 942088, 985911, 898601]"
278,"[480014, 895680, 1138292, 866548, 917384]"
279,"[480014, 1082212, 1070015, 919534, 6464208]"
280,"[480014, 12731544, 6602729, 1106523, 6534178]"
281,"[480014, 1018050, 1070820, 1066783, 934399]"
282,"[480014, 1056651, 1090017, 938118, 862010]"
283,"[480014, 1108094, 1107089, 5995692, 1124674]"
285,"[480014, 878739, 928961, 1013389, 877175]"
286,"[480014, 997309, 966684, 1104414, 825541]"
287,"[480014, 985119, 1106523, 837647, 1033615]"
288,"[480014, 1005456, 928092, 932179, 1070820]"
289,"[480014, 6533889, 5586642, 5578643, 5584645]"
290,"[480014, 873964, 866950, 962229, 838797]"
291,"[480014, 911311, 1120213, 1113588, 1012873]"
292,"[480014, 1015247, 1043920, 864335, 9396770]"
293,"[480014, 9553382, 1034686, 9187298, 1026058]"
294,"[480014, 905087, 852317, 919644, 1009482]"
297,"[480014, 1075368, 1110764, 1043920, 6704207]"
300,"[480014, 835618, 1035207, 944534, 1106523]"
301,"[480014, 1015474, 5565322, 1094924, 898510]"
302,"[480014, 1021416, 1027168, 10344586, 941741]"
303,"[480014, 822225, 985911, 1082141, 898601]"
304,"[480014, 868764, 6979753, 873627, 9396821]"
305,"[480014, 1139184, 6463727, 1044089, 827802]"
306,"[480014, 6534480, 8011397, 873874, 1049735]"
307,"[1074040, 869195, 480014, 1027874, 1019637]"
308,"[480014, 961620, 887102, 1043787, 963835]"
311,"[480014, 1063207, 1091365, 1036139, 1106523]"
314,"[480014, 820486, 1107089, 1124674, 979239]"
316,"[480014, 841228, 1120213, 1025611, 1050131]"
317,"[480014, 879506, 862010, 947316, 983584]"
318,"[480014, 1021324, 951102, 825618, 947147]"
319,"[480014, 935993, 6979160, 5589247, 990804]"
320,"[480014, 959737, 930603, 1054402, 1072693]"
321,"[480014, 905436, 9553042, 5580166, 5995445]"
322,"[480014, 8090556, 12263788, 862349, 1119051]"
324,"[480014, 1057260, 888178, 920002, 1063739]"
325,"[480014, 958826, 983078, 1039682, 983936]"
326,"[480014, 1090931, 1137346, 6464144, 850102]"
328,"[480014, 972191, 885290, 1070820, 821083]"
329,"[480014, 876548, 948420, 1081189, 1095275]"
331,"[480014, 983659, 1103752, 5565322, 1044188]"
332,"[480014, 1070820, 862349, 1028421, 1022757]"
334,"[480014, 826144, 1018670, 957420, 1001475]"
335,"[480014, 1032549, 945652, 1075368, 1005456]"
338,"[480014, 1028816, 1026118, 908846, 1051516]"
339,"[480014, 1031492, 1082172, 1015247, 896085]"
341,"[480014, 843304, 866177, 837098, 995303]"
342,"[480014, 824193, 970792, 867648, 6464056]"
343,"[480014, 1092588, 1134398, 6979427, 826144]"
345,"[480014, 6602697, 921836, 855356, 1124507]"
346,"[480014, 1101010, 905087, 9245108, 867607]"
347,"[480014, 1110409, 1110632, 823775, 1027874]"
348,"[480014, 989354, 6533765, 819308, 1083787]"
349,"[480014, 1126899, 824305, 945273, 849315]"
350,"[480014, 834103, 1085604, 1091365, 6534178]"
351,"[480014, 8020166, 894439, 892573, 945456]"
353,"[480014, 1065979, 839656, 13008321, 848471]"
354,"[480014, 834631, 866292, 9885206, 1001412]"
356,"[480014, 916767, 1049735, 948190, 947798]"
357,"[480014, 1071277, 1126899, 1011645, 5586642]"
358,"[480014, 5568489, 949294, 5569230, 1110572]"
360,"[480014, 1073150, 5591627, 903931, 955012]"
361,"[480014, 1101771, 900770, 1014915, 1075315]"
362,"[480014, 1126045, 919589, 889649, 1033214]"
364,"[480014, 850102, 1106523, 974108, 8160430]"
365,"[480014, 1062128, 955275, 956672, 1136719]"
367,"[480014, 1058021, 839849, 1031864, 883912]"
368,"[480014, 6533936, 1083446, 5568721, 1037840]"
371,"[480014, 5590287, 1054402, 1033846, 928123]"
374,"[480014, 1015296, 1108094, 879755, 1037840]"
375,"[1058021, 1027835, 480014, 1058942, 8090532]"
376,"[480014, 834833, 1033615, 1026346, 1057777]"
377,"[480014, 994223, 1126899, 1094924, 6979160]"
378,"[480014, 1005186, 916990, 8119093, 866227]"
380,"[480014, 1098284, 935570, 953134, 981944]"
381,"[480014, 1075368, 937845, 1128016, 1031065]"
382,"[480014, 1139830, 999250, 1070803, 1108131]"
384,"[480014, 1061394, 1068957, 999090, 972445]"
385,"[480014, 1057260, 1087102, 5591520, 1124971]"
386,"[480014, 839094, 1095275, 951176, 1009200]"
387,"[480014, 8090536, 1009719, 1126899, 873527]"
388,"[480014, 839849, 1029504, 1031864, 918462]"
389,"[480014, 1126899, 10344585, 1042702, 921836]"
390,"[480014, 888543, 1072693, 951590, 9803601]"
392,"[480014, 1028473, 6552253, 12263788, 963835]"
393,"[480014, 972312, 820486, 961846, 1042702]"
394,"[480014, 6391381, 1063207, 926422, 986912]"
395,"[480014, 1053690, 1093030, 1104604, 1120741]"
396,"[480014, 834103, 1075368, 1009449, 1061982]"
397,"[480014, 1107973, 892573, 931255, 964594]"
398,"[480014, 1129049, 938203, 951746, 953134]"
399,"[480014, 849202, 1029688, 882190, 822178]"
400,"[480014, 5567702, 6533889, 5566235, 8090536]"
401,"[480014, 895540, 827683, 1081189, 965543]"
402,"[480014, 964594, 9189814, 1006483, 13842090]"
403,"[480014, 1130375, 944534, 10344971, 880150]"
404,"[480014, 1092588, 992986, 990256, 888275]"
405,"[480014, 1039156, 7167836, 948670, 6534178]"
406,"[480014, 1070015, 894968, 827047, 9333734]"
408,"[480014, 1065538, 1034176, 862799, 905072]"
409,"[480014, 1038443, 1070820, 8160319, 1112473]"
410,"[480014, 1082310, 866227, 837647, 819308]"
411,"[480014, 1046689, 5569374, 1011300, 1106523]"
412,"[480014, 849098, 7167853, 1005186, 977166]"
413,"[480014, 970160, 986912, 1009449, 1064892]"
414,"[480014, 1082212, 1014999, 1077143, 1132763]"
415,"[864893, 480014, 1090884, 879143, 1062572]"
417,"[480014, 5578547, 1055504, 1082185, 5574045]"
418,"[480014, 983316, 852360, 1134161, 13008223]"
419,"[480014, 1014732, 5567702, 1102416, 1071759]"
420,"[480014, 889551, 1059902, 865705, 1005184]"
421,"[480014, 6534178, 1031864, 935959, 8205731]"
424,"[480014, 888586, 953180, 983316, 9859183]"
425,"[480014, 843464, 988572, 969419, 1031083]"
426,"[480014, 899682, 1064892, 822646, 1011926]"
427,"[480014, 1056651, 953134, 1046648, 989101]"
430,"[480014, 1006483, 932761, 1042571, 843744]"
431,"[480014, 1070820, 1092937, 822140, 10198378]"
432,"[480014, 955043, 1030093, 882441, 1041476]"
433,"[1089392, 480014, 1056651, 1106523, 998373]"
434,"[480014, 1039781, 845109, 1081189, 934639]"
435,"[480014, 1075827, 1008012, 1127716, 1053690]"
436,"[480014, 934399, 953180, 1046689, 1092363]"
437,"[480014, 877310, 1083740, 975633, 899502]"
438,"[480014, 9881593, 873902, 1070820, 1014802]"
439,"[480014, 1086119, 1037840, 1031316, 956995]"
441,"[1038985, 480014, 1124971, 906844, 827856]"
442,"[480014, 1085604, 1091365, 7167853, 878234]"
443,"[480014, 8011397, 982393, 1057260, 9396705]"
445,"[480014, 1126899, 1032950, 10285243, 1137346]"
446,"[480014, 979057, 888586, 954966, 1136719]"
447,"[1057260, 480014, 926905, 937626, 910151]"
448,"[480014, 7166861, 6463717, 1020823, 937489]"
449,"[480014, 9934800, 1048462, 1078763, 909396]"
450,"[912146, 480014, 8015407, 9189814, 13842214]"
451,"[480014, 1109014, 1014388, 934639, 910473]"
452,"[480014, 935284, 1115874, 846043, 911088]"
454,"[480014, 1023958, 881047, 1083787, 1130777]"
456,"[480014, 8090536, 1108094, 5569845, 881917]"
457,"[480014, 1050079, 865330, 858478, 831536]"
458,"[480014, 1023958, 849843, 910439, 1058997]"
459,"[972312, 480014, 13007846, 1039682, 1077555]"
460,"[480014, 935342, 1082185, 993466, 1038692]"
461,"[480014, 918684, 1019744, 980657, 867667]"
462,"[480014, 1011926, 1106073, 995242, 1024306]"
463,"[480014, 6534166, 1046689, 929484, 838797]"
464,"[480014, 841266, 938217, 1041157, 865511]"
466,"[480014, 1112473, 895652, 1025611, 1105381]"
467,"[480014, 6979089, 9296804, 848071, 9655715]"
468,"[480014, 1026346, 1098284, 8119303, 1118946]"
469,"[480014, 932006, 907392, 8203834, 6548453]"
470,"[480014, 840601, 970619, 886803, 917832]"
471,"[480014, 1119405, 1075007, 13417590, 6633342]"
472,"[480014, 8019273, 1017195, 871754, 12263788]"
473,"[480014, 1053016, 1035207, 1126045, 946964]"
474,"[480014, 953134, 6773238, 5585966, 1116578]"
475,"[480014, 9837076, 1075368, 1069522, 955012]"
476,"[480014, 5566809, 845193, 1139525, 6034577]"
477,"[480014, 6534178, 1126899, 886125, 900842]"
479,"[480014, 1037840, 1085604, 942088, 1063207]"
480,"[480014, 871433, 1047769, 825618, 1028950]"
481,"[480014, 972416, 1100368, 1007269, 1078011]"
482,"[480014, 910673, 879755, 844165, 831517]"
483,"[480014, 9881834, 1106523, 1015247, 12695224]"
484,"[480014, 1027874, 1006483, 823099, 839849]"
485,"[480014, 910151, 845193, 1030362, 996156]"
486,"[480014, 397896, 1105381, 942475, 878739]"
487,"[480014, 1113780, 15831255, 1033707, 983078]"
488,"[480014, 943393, 1026118, 1033220, 819840]"
489,"[480014, 1019247, 858743, 5586076, 5585639]"
490,"[480014, 5569471, 1075368, 944317, 9487534]"
491,"[480014, 6533936, 867469, 1055504, 9837076]"
493,"[480014, 947267, 8090539, 933569, 961620]"
495,"[480014, 1024032, 12810391, 882190, 919406]"
496,"[480014, 852014, 912681, 1075505, 872342]"
497,"[480014, 9707137, 5567148, 5996036, 8276172]"
498,"[480014, 1028891, 1005172, 1129671, 1058686]"
501,"[480014, 932949, 878222, 1065380, 833351]"
502,"[480014, 898980, 1070015, 985119, 1135868]"
503,"[480014, 1073150, 971983, 1134398, 1072693]"
505,"[480014, 1132770, 7441498, 983267, 6395907]"
506,"[480014, 1081189, 896761, 1113780, 827570]"
507,"[480014, 1008012, 1036501, 1127716, 891542]"
510,"[480014, 1036501, 1073150, 850676, 964356]"
511,"[480014, 879755, 1071171, 1116635, 6533765]"
512,"[480014, 971474, 1108168, 842392, 6464147]"
513,"[480014, 865026, 983959, 1093413, 990897]"
514,"[480014, 923169, 7466806, 5584645, 5586642]"
515,"[480014, 1040842, 1015826, 848561, 990004]"
517,"[480014, 1126899, 1062128, 1028816, 943141]"
518,"[480014, 862732, 1031316, 901460, 6391532]"
519,"[480014, 962266, 888586, 1077975, 938190]"
520,"[480014, 7167218, 895540, 823758, 966494]"
521,"[480014, 1056212, 8090440, 869177, 819840]"
523,"[480014, 1056651, 1057260, 1110572, 898121]"
524,"[480014, 1051516, 5569792, 839753, 1082185]"
525,"[480014, 824305, 913490, 1026258, 1083070]"
526,"[480014, 397896, 1062128, 8090556, 1123035]"
527,"[480014, 1131321, 1046584, 1094924, 12988031]"
528,"[480014, 1051637, 1053063, 1003616, 1095275]"
530,"[480014, 906844, 983050, 898869, 839656]"
532,"[480014, 962274, 5585966, 5578494, 5583547]"
534,"[480014, 841228, 926422, 1128900, 1014860]"
536,"[480014, 965982, 888054, 1027090, 899201]"
537,"[480014, 1116635, 1065538, 1057260, 1072523]"
538,"[480014, 870780, 1082212, 846907, 879635]"
539,"[480014, 878715, 14077333, 860975, 6534178]"
540,"[480014, 6391381, 1000237, 1047769, 841016]"
541,"[480014, 898869, 1079023, 1060408, 1106523]"
542,"[480014, 824796, 1082990, 1106523, 844165]"
543,"[820486, 480014, 879734, 822517, 989409]"
544,"[480014, 1085604, 900112, 841228, 966826]"
545,"[480014, 907281, 1046243, 903463, 1119374]"
548,"[480014, 1001333, 824073, 1098435, 1094924]"
550,"[480014, 1108488, 917438, 878222, 1130716]"
551,"[480014, 1011926, 9547021, 1058997, 7168619]"
553,"[480014, 1030362, 1036501, 1037332, 1014860]"
554,"[480014, 1135681, 846634, 982469, 1107597]"
557,"[480014, 819330, 905436, 846634, 1135932]"
558,"[480014, 1106523, 1048462, 1015247, 835243]"
560,"[480014, 1029743, 978343, 6464208, 6534178]"
561,"[480014, 932179, 938138, 833351, 892314]"
562,"[480014, 957951, 8090536, 1007136, 830582]"
564,"[480014, 829617, 5580793, 911614, 1110843]"
567,"[480014, 1070015, 1089766, 13777104, 1076875]"
568,"[480014, 1101589, 905817, 1083787, 865330]"
569,"[480014, 8293385, 1028473, 1062128, 12428017]"
570,"[480014, 1007512, 1112766, 938596, 1011578]"
573,"[480014, 938512, 941797, 1106523, 1082212]"
574,"[480014, 914754, 891505, 1026334, 1024032]"
575,"[480014, 1126310, 1049735, 1100410, 9526730]"
577,"[480014, 841266, 1042345, 1095040, 1110244]"
578,"[480014, 13008321, 1006483, 1119051, 847207]"
579,"[480014, 1091365, 1001680, 5566235, 6034577]"
580,"[1118946, 480014, 1056509, 821787, 966348]"
581,"[480014, 13777104, 1042942, 938849, 12188582]"
582,"[480014, 1021324, 845715, 862651, 5569230]"
583,"[480014, 1120741, 1021324, 1037840, 1076306]"
585,"[480014, 5568072, 1036501, 1126899, 1071302]"
586,"[480014, 906335, 980666, 5565664, 901543]"
587,"[480014, 863449, 1114653, 908181, 911470]"
588,"[480014, 1023473, 1050851, 1070015, 1056746]"
590,"[480014, 888650, 1102845, 1136353, 1053690]"
591,"[480014, 1065017, 935126, 935993, 933067]"
592,"[480014, 1070820, 5592094, 1092446, 1088836]"
593,"[921288, 480014, 1015247, 853998, 1065593]"
594,"[480014, 8090537, 1106523, 1002459, 957232]"
595,"[480014, 1107553, 1036139, 8090556, 922561]"
596,"[480014, 1025581, 8090537, 8090521, 9527159]"
597,"[480014, 1106301, 1025611, 1127470, 826067]"
598,"[480014, 9553382, 986187, 9553048, 8090532]"
599,"[480014, 902192, 936914, 1083721, 1039781]"
600,"[480014, 991592, 1097815, 7409824, 827047]"
601,"[480014, 1033324, 1126899, 1037332, 5568072]"
602,"[480014, 848356, 995916, 10456371, 833940]"
603,"[480014, 1070015, 1059308, 989075, 1071333]"
604,"[480014, 7441668, 5569374, 862349, 834129]"
605,"[480014, 965772, 993441, 872729, 931672]"
606,"[480014, 1018050, 970160, 928092, 987838]"
608,"[480014, 6979753, 1038462, 7024844, 7167218]"
609,"[480014, 1107553, 1110572, 1015974, 1133018]"
610,"[480014, 850044, 1008673, 1132770, 1041476]"
611,"[480014, 6534166, 822677, 861445, 1128900]"
612,"[480014, 1103476, 12132648, 826695, 1122568]"
614,"[480014, 975633, 1039781, 889618, 5565925]"
615,"[480014, 5995597, 986021, 924834, 13008334]"
617,"[480014, 10345155, 878026, 1137176, 909249]"
618,"[480014, 1053460, 1037840, 1015247, 959409]"
621,"[480014, 1112825, 977268, 7024871, 943362]"
622,"[480014, 980666, 1049906, 1029688, 1034176]"
623,"[480014, 1014732, 934427, 1082310, 5591490]"
624,"[480014, 6944571, 1082310, 9881948, 1015247]"
625,"[480014, 6602697, 822677, 8203451, 1112473]"
627,"[480014, 954642, 1139782, 9245312, 1110409]"
628,"[480014, 1037840, 8090519, 6979545, 1104695]"
630,"[480014, 880895, 862349, 6464147, 1070820]"
631,"[1043035, 480014, 899682, 878445, 5587043]"
632,"[480014, 1057260, 954642, 894968, 849202]"
633,"[480014, 833940, 8119303, 901711, 1036139]"
635,"[970160, 480014, 1105616, 1106523, 1082141]"
636,"[480014, 912681, 1015247, 848471, 1105381]"
637,"[480014, 1114811, 926905, 1135681, 1037840]"
638,"[480014, 1053530, 1059347, 924427, 1016709]"
640,"[480014, 1088414, 883004, 7167687, 988208]"
641,"[480014, 1104349, 1070820, 1126899, 1010164]"
643,"[480014, 872729, 6391532, 6424472, 1037340]"
644,"[480014, 1077975, 1019637, 899580, 964327]"
647,"[480014, 8090536, 1073150, 983267, 951590]"
648,"[480014, 921288, 1119051, 1033220, 1037332]"
